PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.786 ms_nl=1.786 ms_d2h=0.154 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.085 ms_pack=0.087 ms_pub=0.241 ms_wait_workers=92.115 ms_total=94.155 gen=51 n_edges_full=58070 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.800 ms_nl=1.800 ms_d2h=0.160 ms_geo_pub=0.043 ms_cover=0.000 ms_shard=0.092 ms_pack=0.093 ms_pub=0.253 ms_wait_workers=92.085 ms_total=94.149 gen=52 n_edges_full=58100 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.753 ms_nl=1.753 ms_d2h=0.154 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.080 ms_pack=0.081 ms_pub=0.236 ms_wait_workers=92.158 ms_total=94.159 gen=53 n_edges_full=58148 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.748 ms_nl=1.748 ms_d2h=0.157 ms_geo_pub=0.039 ms_cover=0.000 ms_shard=0.086 ms_pack=0.087 ms_pub=0.244 ms_wait_workers=91.138 ms_total=93.143 gen=54 n_edges_full=58120 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.767 ms_nl=1.767 ms_d2h=0.155 ms_geo_pub=0.039 ms_cover=0.000 ms_shard=0.075 ms_pack=0.076 ms_pub=0.231 ms_wait_workers=92.139 ms_total=94.149 gen=55 n_edges_full=58072 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.786 ms_nl=1.786 ms_d2h=0.157 ms_geo_pub=0.040 ms_cover=0.000 ms_shard=0.084 ms_pack=0.085 ms_pub=0.242 ms_wait_workers=92.713 ms_total=94.757 gen=56 n_edges_full=58034 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.825 ms_nl=1.825 ms_d2h=0.154 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.092 ms_pack=0.093 ms_pub=0.247 ms_wait_workers=92.109 ms_total=94.194 gen=57 n_edges_full=58062 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.846 ms_nl=1.846 ms_d2h=0.159 ms_geo_pub=0.040 ms_cover=0.000 ms_shard=0.096 ms_pack=0.097 ms_pub=0.257 ms_wait_workers=92.031 ms_total=94.147 gen=58 n_edges_full=58134 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.714 ms_nl=1.714 ms_d2h=0.154 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.089 ms_pack=0.090 ms_pub=0.244 ms_wait_workers=92.395 ms_total=94.366 gen=59 n_edges_full=58094 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.765 ms_nl=1.765 ms_d2h=0.157 ms_geo_pub=0.040 ms_cover=0.000 ms_shard=0.084 ms_pack=0.085 ms_pub=0.242 ms_wait_workers=91.615 ms_total=93.636 gen=60 n_edges_full=58092 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.746 ms_nl=1.746 ms_d2h=0.154 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.073 ms_pack=0.074 ms_pub=0.229 ms_wait_workers=90.885 ms_total=92.872 gen=61 n_edges_full=58122 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.762 ms_nl=1.762 ms_d2h=0.158 ms_geo_pub=0.040 ms_cover=0.000 ms_shard=0.085 ms_pack=0.087 ms_pub=0.244 ms_wait_workers=91.127 ms_total=93.146 gen=62 n_edges_full=58154 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.758 ms_nl=1.758 ms_d2h=0.155 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.073 ms_pack=0.074 ms_pub=0.229 ms_wait_workers=91.177 ms_total=93.176 gen=63 n_edges_full=58160 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.757 ms_nl=1.757 ms_d2h=0.171 ms_geo_pub=0.041 ms_cover=0.000 ms_shard=0.083 ms_pack=0.084 ms_pub=0.256 ms_wait_workers=91.030 ms_total=93.055 gen=64 n_edges_full=58166 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.753 ms_nl=1.753 ms_d2h=0.156 ms_geo_pub=0.039 ms_cover=0.000 ms_shard=0.081 ms_pack=0.082 ms_pub=0.238 ms_wait_workers=91.325 ms_total=93.329 gen=65 n_edges_full=58152 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.723 ms_nl=1.724 ms_d2h=0.154 ms_geo_pub=0.039 ms_cover=0.000 ms_shard=0.075 ms_pack=0.076 ms_pub=0.230 ms_wait_workers=91.043 ms_total=93.011 gen=66 n_edges_full=58134 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.804 ms_nl=1.804 ms_d2h=0.157 ms_geo_pub=0.040 ms_cover=0.000 ms_shard=0.080 ms_pack=0.081 ms_pub=0.239 ms_wait_workers=93.742 ms_total=95.801 gen=67 n_edges_full=58070 mode=W7_twophase
